date,code,name,value
2023-02-13 09:22:07,SH601088,中国神华,494.0
2023-02-13 09:22:07,SZ000066,中国长城,492.0
2023-02-13 09:22:07,SZ002657,中科金财,485.0
2023-02-13 09:22:07,SZ301205,联特科技,476.0
2023-02-13 09:22:07,SZ002348,高乐股份,473.0
2023-02-13 09:22:07,SH600817,宇通重工,468.0
2023-02-13 09:22:07,SZ300394,天孚通信,463.0
2023-02-13 09:22:07,SZ002131,利欧股份,455.0
2023-02-13 09:22:07,SH600436,片仔癀,455.0
2023-02-13 09:22:07,SZ002598,山东章鼓,454.0
2023-02-13 09:22:07,SZ002514,宝馨科技,451.0
2023-02-13 09:22:07,SZ300065,海兰信,450.0
2023-02-13 09:22:07,SZ002714,牧原股份,450.0
2023-02-13 09:22:07,SH600438,通威股份,449.0
2023-02-13 09:22:07,SZ300890,翔丰华,448.0
2023-02-13 09:22:07,SZ000681,视觉中国,446.0
2023-02-13 09:22:07,SZ002717,岭南股份,440.0
2023-02-13 09:22:07,SZ002574,明牌珠宝,436.0
2023-02-13 09:22:07,SH688327,云从科技-UW,434.0
2023-02-13 09:22:07,SZ000858,五粮液,431.0
2023-02-13 09:22:07,SZ300308,中际旭创,428.0
2023-02-13 09:22:07,SH600705,中航产融,424.0
